[ 2025-03-24 17:21:26,249 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:21:28,135 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:21:28,135 ] 56 root -INFO-Exporting
[ 2025-03-24 17:21:28,184 ] 59 root -INFO-Exported
[ 2025-03-24 17:21:28,185 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:21:28,189 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:21:28,268 ] 30 root -INFO-Required number of columns:2
[ 2025-03-24 17:21:28,268 ] 31 root -INFO-Data from columns:31
[ 2025-03-24 17:21:28,268 ] 30 root -INFO-Required number of columns:2
[ 2025-03-24 17:21:28,276 ] 31 root -INFO-Data from columns:31
