[ 2025-03-24 17:42:18,144 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:42:20,349 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:42:20,350 ] 56 root -INFO-Exporting
[ 2025-03-24 17:42:20,391 ] 59 root -INFO-Exported
[ 2025-03-24 17:42:20,392 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:42:20,396 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:42:20,484 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:42:20,484 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:42:20,484 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:42:20,484 ] 33 root -INFO-Data from columns:31
