[ 2025-03-24 17:33:44,819 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:33:47,124 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:33:47,124 ] 56 root -INFO-Exporting
[ 2025-03-24 17:33:47,168 ] 59 root -INFO-Exported
[ 2025-03-24 17:33:47,169 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:33:47,173 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:33:47,256 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:33:47,256 ] 32 root -INFO-Data from columns:31
[ 2025-03-24 17:33:47,256 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:33:47,256 ] 32 root -INFO-Data from columns:31
