[ 2025-03-24 20:48:37,269 ] 16 root -INFO-Initiate the data ingestion
[ 2025-03-24 20:48:39,542 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 20:48:39,543 ] 56 root -INFO-Exporting
[ 2025-03-24 20:48:39,575 ] 59 root -INFO-Exported
[ 2025-03-24 20:48:39,575 ] 18 root -INFO-Data Initiation Completed
[ 2025-03-24 20:48:39,578 ] 21 root -INFO-Initiate the data Validation
[ 2025-03-24 20:48:39,653 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 20:48:39,653 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 20:48:39,653 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 20:48:39,655 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 20:48:44,062 ] 23 root -INFO-data Validation Completed
[ 2025-03-24 20:48:44,062 ] 26 root -INFO-Transformation started
[ 2025-03-24 20:48:44,062 ] 40 root -INFO-Data transformation started
