[ 2025-03-24 17:42:55,799 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:42:57,993 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:42:57,993 ] 56 root -INFO-Exporting
[ 2025-03-24 17:42:58,041 ] 59 root -INFO-Exported
[ 2025-03-24 17:42:58,041 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:42:58,046 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:42:58,119 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:42:58,119 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:42:58,119 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:42:58,120 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:43:04,684 ] 22 root -INFO-data Validation Completed
