[ 2025-03-24 17:37:20,937 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:37:23,581 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:37:23,581 ] 56 root -INFO-Exporting
[ 2025-03-24 17:37:23,626 ] 59 root -INFO-Exported
[ 2025-03-24 17:37:23,627 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:37:23,632 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:37:23,700 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:37:23,700 ] 32 root -INFO-Data from columns:31
[ 2025-03-24 17:37:23,700 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:37:23,707 ] 32 root -INFO-Data from columns:31
