[ 2025-03-24 17:35:36,225 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:35:38,021 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:35:38,021 ] 56 root -INFO-Exporting
[ 2025-03-24 17:35:38,065 ] 59 root -INFO-Exported
[ 2025-03-24 17:35:38,066 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:35:38,070 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:35:38,179 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:35:38,179 ] 32 root -INFO-Data from columns:31
[ 2025-03-24 17:35:38,179 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:35:38,180 ] 32 root -INFO-Data from columns:31
