[ 2025-03-24 17:26:26,049 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:26:27,901 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:26:27,901 ] 56 root -INFO-Exporting
[ 2025-03-24 17:26:27,946 ] 59 root -INFO-Exported
[ 2025-03-24 17:26:27,947 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:26:27,950 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:26:28,051 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:26:28,051 ] 32 root -INFO-Data from columns:31
[ 2025-03-24 17:26:28,051 ] 31 root -INFO-Required number of columns:2
[ 2025-03-24 17:26:28,058 ] 32 root -INFO-Data from columns:31
