[ 2025-03-24 21:12:03,791 ] 16 root -INFO-Initiate the data ingestion
[ 2025-03-24 21:12:05,563 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 21:12:05,563 ] 56 root -INFO-Exporting
[ 2025-03-24 21:12:05,594 ] 59 root -INFO-Exported
[ 2025-03-24 21:12:05,595 ] 18 root -INFO-Data Initiation Completed
[ 2025-03-24 21:12:05,597 ] 21 root -INFO-Initiate the data Validation
[ 2025-03-24 21:12:05,678 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:12:05,679 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:12:05,679 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:12:05,680 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:12:09,145 ] 23 root -INFO-data Validation Completed
[ 2025-03-24 21:12:09,145 ] 26 root -INFO-Transformation started
[ 2025-03-24 21:12:09,145 ] 41 root -INFO-Data transformation started
