[ 2025-03-24 17:09:40,533 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:09:42,643 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:09:42,643 ] 56 root -INFO-Exporting
[ 2025-03-24 17:09:42,685 ] 59 root -INFO-Exported
[ 2025-03-24 17:09:42,686 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:09:42,716 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:09:42,812 ] 29 root -INFO-Required number of columns:2
[ 2025-03-24 17:09:42,812 ] 30 root -INFO-Data from columns:31
[ 2025-03-24 17:09:42,812 ] 29 root -INFO-Required number of columns:2
[ 2025-03-24 17:09:42,812 ] 30 root -INFO-Data from columns:31
