[ 2025-03-26 19:12:01,881 ] 17 root -INFO-Initiate the data ingestion
[ 2025-03-26 19:12:04,418 ] 53 root -INFO-Performed Traintest split
[ 2025-03-26 19:12:04,418 ] 56 root -INFO-Exporting
[ 2025-03-26 19:12:04,451 ] 59 root -INFO-Exported
[ 2025-03-26 19:12:04,451 ] 19 root -INFO-Data Initiation Completed
[ 2025-03-26 19:12:04,463 ] 22 root -INFO-Initiate the data Validation
[ 2025-03-26 19:12:04,549 ] 32 root -INFO-Required number of columns:2
[ 2025-03-26 19:12:04,549 ] 33 root -INFO-Data from columns:31
[ 2025-03-26 19:12:04,550 ] 32 root -INFO-Required number of columns:2
[ 2025-03-26 19:12:04,551 ] 33 root -INFO-Data from columns:31
[ 2025-03-26 19:12:04,656 ] 24 root -INFO-data Validation Completed
[ 2025-03-26 19:12:04,656 ] 27 root -INFO-Transformation started
[ 2025-03-26 19:12:04,656 ] 41 root -INFO-Data transformation started
[ 2025-03-26 19:12:04,698 ] 41 root -INFO-Entered the save_object method of MainUtils class
[ 2025-03-26 19:12:04,700 ] 45 root -INFO-Exited the save_object method of MainUtils class
[ 2025-03-26 19:12:04,702 ] 30 root -INFO-Model Training sstared
[ 2025-03-26 19:14:12,054 ] 41 root -INFO-Entered the save_object method of MainUtils class
[ 2025-03-26 19:14:12,056 ] 45 root -INFO-Exited the save_object method of MainUtils class
[ 2025-03-26 19:14:12,056 ] 100 root -INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_26_2025_19_11_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915332041211874, precision_score=0.9908256880733946, recall_score=0.9922417313189057), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9747634069400631, precision_score=0.9678935003915426, recall_score=0.9817315329626688))
[ 2025-03-26 19:14:12,060 ] 35 root -INFO-Model Training artifact created
