[ 2025-03-24 17:41:17,026 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:41:19,074 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:41:19,074 ] 56 root -INFO-Exporting
[ 2025-03-24 17:41:19,121 ] 59 root -INFO-Exported
[ 2025-03-24 17:41:19,122 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:41:19,126 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:41:19,206 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:41:19,207 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:41:19,207 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:41:19,208 ] 33 root -INFO-Data from columns:31
