[ 2025-03-24 21:13:28,071 ] 16 root -INFO-Initiate the data ingestion
[ 2025-03-24 21:13:29,706 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 21:13:29,707 ] 56 root -INFO-Exporting
[ 2025-03-24 21:13:29,740 ] 59 root -INFO-Exported
[ 2025-03-24 21:13:29,740 ] 18 root -INFO-Data Initiation Completed
[ 2025-03-24 21:13:29,743 ] 21 root -INFO-Initiate the data Validation
[ 2025-03-24 21:13:29,832 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:13:29,832 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:13:29,832 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 21:13:29,833 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 21:13:32,555 ] 23 root -INFO-data Validation Completed
[ 2025-03-24 21:13:32,555 ] 26 root -INFO-Transformation started
[ 2025-03-24 21:13:32,555 ] 41 root -INFO-Data transformation started
