[ 2025-03-27 09:08:29,816 ] 17 root -INFO-Initiate the data ingestion
[ 2025-03-27 09:08:36,862 ] 53 root -INFO-Performed Traintest split
[ 2025-03-27 09:08:36,863 ] 56 root -INFO-Exporting
[ 2025-03-27 09:08:36,908 ] 59 root -INFO-Exported
[ 2025-03-27 09:08:36,909 ] 19 root -INFO-Data Initiation Completed
[ 2025-03-27 09:08:36,936 ] 22 root -INFO-Initiate the data Validation
[ 2025-03-27 09:08:37,014 ] 32 root -INFO-Required number of columns:2
[ 2025-03-27 09:08:37,014 ] 33 root -INFO-Data from columns:31
[ 2025-03-27 09:08:37,014 ] 32 root -INFO-Required number of columns:2
[ 2025-03-27 09:08:37,015 ] 33 root -INFO-Data from columns:31
[ 2025-03-27 09:08:37,134 ] 24 root -INFO-data Validation Completed
[ 2025-03-27 09:08:37,134 ] 27 root -INFO-Transformation started
[ 2025-03-27 09:08:37,134 ] 41 root -INFO-Data transformation started
[ 2025-03-27 09:08:37,170 ] 41 root -INFO-Entered the save_object method of MainUtils class
[ 2025-03-27 09:08:37,173 ] 45 root -INFO-Exited the save_object method of MainUtils class
[ 2025-03-27 09:08:37,175 ] 30 root -INFO-Model Training sstared
[ 2025-03-27 09:11:44,017 ] 41 root -INFO-Entered the save_object method of MainUtils class
[ 2025-03-27 09:11:44,018 ] 45 root -INFO-Exited the save_object method of MainUtils class
[ 2025-03-27 09:11:44,018 ] 100 root -INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_27_2025_09_08_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990998280570446, precision_score=0.9894970712987275, recall_score=0.9925040518638574), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9729073999191266, precision_score=0.9608626198083067, recall_score=0.9852579852579852))
[ 2025-03-27 09:11:44,026 ] 35 root -INFO-Model Training artifact created
