[ 2025-03-24 17:44:32,166 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:44:34,588 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:44:34,589 ] 56 root -INFO-Exporting
[ 2025-03-24 17:44:34,636 ] 59 root -INFO-Exported
[ 2025-03-24 17:44:34,636 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:44:34,641 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:44:34,721 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:44:34,722 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:44:34,722 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:44:34,728 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:44:42,439 ] 22 root -INFO-data Validation Completed
