[ 2025-03-24 17:39:40,125 ] 15 root -INFO-Initiate the data ingestion
[ 2025-03-24 17:39:42,103 ] 53 root -INFO-Performed Traintest split
[ 2025-03-24 17:39:42,104 ] 56 root -INFO-Exporting
[ 2025-03-24 17:39:42,153 ] 59 root -INFO-Exported
[ 2025-03-24 17:39:42,154 ] 17 root -INFO-Data Initiation Completed
[ 2025-03-24 17:39:42,158 ] 20 root -INFO-Initiate the data Validation
[ 2025-03-24 17:39:42,233 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:39:42,233 ] 33 root -INFO-Data from columns:31
[ 2025-03-24 17:39:42,233 ] 32 root -INFO-Required number of columns:2
[ 2025-03-24 17:39:42,234 ] 33 root -INFO-Data from columns:31
